AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
--------------  ----------------  ---------------
          1900          7.11111               180
          1901          7.50153               327
          1902         13.2429                280
          1903          5.53281               381
          1904          7.0202                396
          1905          8.87535               361
          1906          9.36893               309
          1907          5.50416               361
          1908          7.2069                377
          1909          6.0274                438
          1910         13.4139                546
          1911          5.32487               591
          1912          8.44246               617
          1913          9.32198               587
          1914         10.3847                577
          1915          9.30286               525
          1916          8.04045               445
          1917         10.411                 472
          1918          7.62791               516
          1919         10.2709                550
          1920          9.17863               627
          1921          6.47881               944
          1922          6.33419              1170
          1923          5.85156              1280
          1924          5.06748              1230
          1925          7.2823               1463
          1926          6.99928              1398
          1927          4.98231              1583
          1928          4.841                1566
          1929          6.56824              1480
          1930          8.00499              1603
          1931          7.01747              1774
          1932          8.12727              1760
          1933         10.1941               1726
          1934          7.57199              1771
          1935         11.1491               1931
          1936          9.94391              1854
          1937         12.8209               1993
          1938         11.0405               1925
          1939         11.3943               1811
          1940         11.628                1562
          1941         13.7077               1461
          1942         13.3673               1511
          1943         16.3777               1255
          1944         13.7054               1127
          1945         29.8886               1625
          1946         15.2216               2071
          1947         16.5322               2219
          1948         20.0614               2509
          1949         26.8557               3866
          1950         25.5315               3338
          1951         26.4048               3429
          1952         29.4696               3882
          1953         25.8523               3989
          1954         27.7941               4294
          1955         33.2583               4201
          1956         19.448                5956
          1957         19.4729               6534
          1958         20.8159               7105
          1959         20.6267               7785
          1960         22.0738               7874
          1961         18.9412              10322
          1962         23.2157              11050
          1963         17.1459              11640
          1964         20.8531              11861
          1965         17.9967              14881
          1966         18.1887              16802
          1967         18.5547              16631
          1968         19.7988              18800
          1969         20.5005              21227
          1970         18.66                23463
          1971         19.1277              24449
          1972         21.3692              24019
          1973         22.0503              26271
          1974         21.889               27913
          1975         23.14                29586
          1976         22.5264              31201
          1977         23.3538              36414
          1978         22.9237              38231
          1979         23.8816              39799
          1980         23.3622              41940
          1981         21.699               46178
          1982         23.4667              48530
          1983         23.8746              49427
          1984         23.0107              53799
          1985         22.7188              56030
          1986         22.1144              61737
          1987         24.1693              63786
          1988         25.4447              61858
          1989         28.2918              60059
          1990         29.1766              66392
          1991         30.4847              67086
          1992         30.9021              71783
          1993         29.5823              82046
          1994         30.9983              81133
          1995         29.9622              89427
          1996         31.2452              91768
          1997         32.5306              98741
          1998         32.8478             101814
          1999         33.8185             107918
          2000         37.2973             112183
          2001         38.8242             106827
          2002         38.2064             113425
          2003         41.0756             110957
          2004         38.8249             123638
          2005         34.7671             144731
          2006         32.5928             157043
          2007         30.7191             168678
          2008         28.951              182904
          2009         27.7403             181241
          2010         27.4063             185033
          2011         25.6497             188235
          2012         21.9933             202331
          2013         20.5866             201495
          2014         18.5285             210539
          2015         17.631              208969
          2016         15.2441             215191
          2017         14.723              220982
          2018         12.5045             235165
          2019         10.4749             243802
          2020          9.73584            234064
          2021          6.60185            246249
          2022          2.92313            240800
          2023          0.671495           238389
          2024          0                     107

AVERAGE CITATIONS PER NO. OF AUTHORS
  No. of Authors    Ave. Citations    No. of Papers
----------------  ----------------  ---------------
               1           13.4924          1410802
              10           23.4527           112870
             100           21.25                  4
             101           62.4545               11
             102           36                     7
             103           23.2727               11
             104           97                     3
            1045           25                     1
             105           31.2857                7
             106           11.5                   4
             107           51.2727               11
             108           85.6667                6
             109           15.6667                6
              11           24.5641            68930
             110           22.3333                3
            1104           63                     1
             111           30.6                   5
             113           21                     1
             115           56.6667                6
             116           29.5                   4
             117           11                     4
             118           12.5                   2
