AVERAGE CITATIONS PER YEAR - line
  Publish Year    Ave. Citations    No. of Papers
--------------  ----------------  ---------------
          1938           1                      1
          1946           0                      2
          1947           1.5                    2
          1950          69                      2
          1952           4.16667                6
          1953          21                      3
          1954           0                      1
          1955         122.333                  3
          1956           4                      2
          1957           7                      1
          1958           3.66667                3
          1959          11                      4
          1960          47                      1
          1961           5.5                    4
          1962           3.33333                6
          1963          11                      1
          1964           5.66667                3
          1965           3.57143                7
          1966           6.71429                7
          1967          23.8889                 9
          1968          13                      8
          1969          24.8235                17
          1970          14.3333                18
          1971          22.6875                16
          1972          33.9167                12
          1973          32.8667                15
          1974          31.36                  25
          1975          57.5517                29
          1976          57.8824                17
          1977          25.1724                29
          1978          31.4255                47
          1979          25.0909                33
          1980          67.7447                47
          1981          34.0769                39
          1982          18.5417                48
          1983          26.9375                64
          1984          22.72                  50
          1985          28.875                 64
          1986          45                     61
          1987          21.4754                61
          1988          24.5692                65
          1989          28.2254                71
          1990          26.2923                65
          1991          18.5938                64
          1992          39.7927                82
          1993          37.1081                74
          1994          24.2778                72
          1995          32.5934                91
          1996          31.3636                88
          1997          63.9789               142
          1998          34.8214               112
          1999          55.1181               144
          2000          63.3129               147
          2001          80.4033               181
          2002          38.5492               122
          2003          58.9607               178
          2004          50.0909               176
          2005          42                    134
          2006          41.4398               166
          2007          48.7563               160
          2008          40.5685               197
          2009          39.788                217
          2010          47.1818               209
          2011          34.0702               228
          2012          35.5022               225
          2013          34.144                257
          2014          31.163                270
          2015          26.5053               285
          2016          26.5657               327
          2017          26.9049               326
          2018          21.5641               351
          2019          17.4661               354
          2020          15.4215               382
          2021           9.95983              473
          2022           6.22148              447
          2023           1.0102               392
          2024           0.25                   8

AVERAGE CITATIONS PER NO. OF AUTHORS - line
  No. of Authors    Ave. Citations    No. of Papers
----------------  ----------------  ---------------
               1           20.7021              913
               2           30.2938             1559
               3           28.5126             1463
               4           35.4628             1197
               5           34.4249              859
               6           36.8103              643
               7           32.3154              409
               8           27.6696              339
               9           30.1832              202
              10           25.5811              148
              11           24.1892               74
              12           25.9219               64
              13           15.8333               36
              14           17.5714               28
              15           18.7143               14
              16           14                    14
              17           44.75                 12
              18           14.5625               16
              19           13.875                 8
              20           46                    10
              21           84.6                   5
              22            9                     2
              23          223.333                 3
              24           21.5                   2
              25            1                     7
              26           22.5                   4
              27           16                     2
              28            0.5                   2
              29          571                     1
              30           78                     2
              34           34.5                   2
              37          107.5                   2
              38           19.5                   2
              40           37                     1
              47           12                     1
              50           20                     1
              99            0                     1
             183           95                     1

AVERAGE CITATIONS PER NO. OF KEYWORDS - line
  No. of Keywords    Ave. Citations    No. of Papers
-----------------  ----------------  ---------------
                1           19.2306              399
                2           21.6123              405
                3           23.8095              378
                4           25.8981              373
                5           31.3136              338
                6           29.4305              295
                7           34.6422              327
                8           34.3228              316
                9           32.9302              258
               10           47.0311             2576

AVERAGE CITATIONS PER JOURNAL - Table
Journal                                                                                              Ave. Citations    No. of Papers
-------------------------------------------------------------------------------------------------  ----------------  ---------------
JOURNAL OF BIOLOGICAL CHEMISTRY                                                                          106.505                 329
ANALYTIC METHODS IN ACCIDENT RESEARCH                                                                     80                       2
ADVANCES IN COLLOID AND INTERFACE SCIENCE                                                                 78.3929                 28
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER                                                           76.9333                 15
COGNITION                                                                                                 73.4151                 53
JOURNAL OF HAZARDOUS MATERIALS                                                                            66.1143                 70
JOURNAL OF LIPID RESEARCH                                                                                 54.3                    20
FIELD CROPS RESEARCH                                                                                      52.4127                 63
JOURNAL OF STRATEGIC INFORMATION SYSTEMS                                                                  50.3333                  6
INFORMATION & MANAGEMENT                                                                                  49.2593                 27
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS                                                             48.4487                 78
ENERGY ECONOMICS                                                                                          47.918                  61
AGRICULTURAL AND FOREST METEOROLOGY                                                                       46.806                  67
JOURNAL OF HEALTH ECONOMICS                                                                               46.72                   25
BRAIN RESEARCH                                                                                            46.4795                586
JOURNAL OF POWER SOURCES                                                                                  46.3375                 80
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING                                                        45.0588                 34
ECOSYSTEM SERVICES                                                                                        43.2                    15
JOURNAL OF HYDROLOGY                                                                                      43.0957                209
FOOD AND BIOPRODUCTS PROCESSING                                                                           42.8636                 22
JOURNAL OF IMMUNOLOGICAL METHODS                                                                          41.6167                120
JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS                                                               40.8276                 58
COMPUTER SCIENCE REVIEW                                                                                   39.2                     5
COLLOIDS AND SURFACES B-BIOINTERFACES                                                                     38.9587                121
AGRICULTURE ECOSYSTEMS & ENVIRONMENT                                                                      38.7381                 84
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH                                                     38.6379                 58
FOREST ECOLOGY AND MANAGEMENT                                                                             37.2308                156
COMPUTER PHYSICS COMMUNICATIONS                                                                           37.0094                106
JOURNAL OF INFORMETRICS                                                                                   36.8571                 14
FOOD RESEARCH INTERNATIONAL                                                                               34.8417                120
JOURNAL OF AFFECTIVE DISORDERS                                                                            34.7514                173
ECOLOGICAL ECONOMICS                                                                                      34.4085                 71
BIOPHYSICAL REPORTS                                                                                       33                       1
AGRICULTURAL WATER MANAGEMENT                                                                             32.9342                 76
CURRENT OPINION IN ELECTROCHEMISTRY                                                                       32.9231                 13
INTERNATIONAL BUSINESS REVIEW                                                                             32.4667                 15
EUROPEAN ECONOMIC REVIEW                                                                                  32.449                  49
BIOPHYSICAL CHEMISTRY                                                                                     32.3273                 55
JOURNAL OF SEA RESEARCH                                                                                   31.7143                 21
FISHERIES RESEARCH                                                                                        31.3231                 65
BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE                                                  31.2727                 33
JOURNAL OF THE MECHANICAL BEHAVIOR OF BIOMEDICAL MATERIALS                                                31.2321                 56
ANALYTICA CHIMICA ACTA                                                                                    31.1632                380
ANIMAL FEED SCIENCE AND TECHNOLOGY                                                                        30.9571                 70
JOURNAL OF APPLIED GEOPHYSICS                                                                             30.2                    40
COMPUTATIONAL MATERIALS SCIENCE                                                                           29.2906                117
ANIMAL                                                                                                    29.2667                 45
COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION                                              28.9385                 65
CRITICAL CARE AND RESUSCITATION                                                                           28.5                     8
JOURNAL OF HYDRO-ENVIRONMENT RESEARCH                                                                     28.3333                  6
JOURNAL OF ADVANCED RESEARCH                                                                              28.0769                 13
JOURNAL OF PROTEOMICS                                                                                     28.0227                 44
BODY IMAGE                                                                                                27.9333                 15
CURRENT APPLIED PHYSICS                                                                                   27.7759                 58
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES                                                              26.087                  23
COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS                                           25.9333                 90
ADVANCED POWDER TECHNOLOGY                                                                                25.7143                 56
JOURNAL OF SUPERCRITICAL FLUIDS                                                                           25.6981                 53
EATING BEHAVIORS                                                                                          25.6154                 13
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY-IN PRACTICE                                                    25.2                    45
FITOTERAPIA                                                                                               24.94                   50
COMPUTER NETWORKS                                                                                         24.7581                 62
BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS                                                     23.7692                 39
ENERGY RESEARCH & SOCIAL SCIENCE                                                                          23.4138                 29
ADVANCES IN ACCOUNTING                                                                                    23.1667                  6
JHEP REPORTS                                                                                              22.6667                  6
FLUID PHASE EQUILIBRIA                                                                                    22.4167                120
EUROPEAN UROLOGY                                                                                          22.3523                176
FOREST POLICY AND ECONOMICS                                                                               22.04                   25
FINITE ELEMENTS IN ANALYSIS AND DESIGN                                                                    21.3333                 24
HUMAN RESOURCE MANAGEMENT REVIEW                                                                          21                       7
DATA & KNOWLEDGE ENGINEERING                                                                              20.8                    10
HARDWAREX                                                                                                 20.6                     5
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS                                                             20.3636                 11
JOURNAL OF HYDROLOGY-REGIONAL STUDIES                                                                     20.1333                 15
ACTA PSYCHOLOGICA                                                                                         19.9836                 61
ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS                                                           19.6875                 32
CONTACT LENS & ANTERIOR EYE                                                                               19.5385                 13
JOURNAL OF SAUDI CHEMICAL SOCIETY                                                                         19.5333                 15
AIN SHAMS ENGINEERING JOURNAL                                                                             19.5238                 21
INFORMATION ECONOMICS AND POLICY                                                                          19.1667                  6
BLOOD ADVANCES                                                                                            18.7105                 38
CURRENT OPINION IN PSYCHOLOGY                                                                             18.5                    16
BIOLOGICAL PSYCHOLOGY                                                                                     18.2453                106
FORENSIC CHEMISTRY                                                                                        18.1667                  6
JOURNAL OF HEPATOLOGY                                                                                     18.1014                434
COMPUTATIONAL STATISTICS & DATA ANALYSIS                                                                  17.5397                 63
INTERNATIONAL JOURNAL OF DRUG POLICY                                                                      17.5312                 32
ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS                                                         17.5                     8
CURRENT OPINION IN INSECT SCIENCE                                                                         17.4                    10
CURRENT OPINION IN BEHAVIORAL SCIENCES                                                                    17.3333                 24
