/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
--------------  ----------------  ---------------
          2000           45                     1
          2001           31                     1
          2002           43                     8
          2003           37.7                  10
          2004           51.2941               17
          2005           42.1                  10
          2006           30.5333              315
          2007           27.4051              869
          2008           29.1833              442
          2009           32.0738             1071
          2010           33.572              1271
          2011           34.1437              355
          2012           34.2095              377
          2013           33.3694             1034
          2014           37.4722              845
          2015           36.6069              781
          2016           40.8527              543
          2017           33.3987              908
          2018           38.9153              826
          2019           44.4255             1490
          2020           44.0222             1799
          2021           46.288              1795
          2022           48.7826             1780
          2023           52.3804             2082
          2024           27                     1

AVERAGE CITATIONS PER NO. OF AUTHORS
  No. of Authors    Ave. Citations    No. of Papers
----------------  ----------------  ---------------
               1           40.0377             2600
               2           39.1197             3751
               3           40.1212             3738
               4           40.4745             2921
               5           40.0815             1913
               6           42.4432             1293
               7           40.3418              831
               8           42.9982              541
               9           43.1641              323
              10           42.4315              241
              11           47.0663              166
              12           49.234                94
              13           47.75                 64
              14           38.6842               38
              15           47.6765               34
              16           43.08                 25
              17           39.3                  10
              18           49.4444                9
              19           46.7273               11
              20           37.4286                7
              21           48.5                   2
              22           82.5                   4
              23           50.6667                3
              24          145                     3
              25           35                     2
              26           31.5                   2
              28           34                     1
              30          124                     1
              31           69                     1
              32           24                     1
              60           44                     1

AVERAGE CITATIONS PER NO. OF KEYWORDS
  No. of Keywords    Ave. Citations    No. of Papers
-----------------  ----------------  ---------------
                1           26.1195             1732
                2           29.65               1543
                3           31.8239             1374
                4           34.542              1190
                5           36.6821             1126
                6           39.5245              978
                7           41.1502              872
                8           44.0833              720
                9           47.6466              648
               10           64.283              4951

AVERAGE CITATIONS PER JOURNAL
Journal                                                                                              Ave. Citations    No. of Papers
-------------------------------------------------------------------------------------------------  ----------------  ---------------
CATALYSIS REVIEWS-SCIENCE AND ENGINEERING                                                                 226.333                  3
TEXTILE PROGRESS                                                                                          188                      1
INTERNATIONAL REVIEWS OF IMMUNOLOGY                                                                       151.667                  9
INTERNATIONAL MATERIALS REVIEWS                                                                           150                      6
LIQUID CRYSTALS REVIEWS                                                                                   142                      2
BRAIN-COMPUTER INTERFACES                                                                                 135                      3
TRANSCRIPTION-AUSTIN                                                                                      119.5                    4
INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY                                                               115                      7
ARCHAEOLOGICAL JOURNAL                                                                                     97                      1
JOURNAL OF SMALL BUSINESS MANAGEMENT                                                                       96.1667                42
APPLIED SPECTROSCOPY REVIEWS                                                                               95.4167                12
SUSTAINABLE ENVIRONMENT                                                                                    91.25                   4
GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY                                                               89.6                    5
ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE                                                        88.6667                 3
TISSUE BARRIERS                                                                                            87                      6
INTERNATIONAL GEOLOGY REVIEW                                                                               83.7667                90
WORLDS POULTRY SCIENCE JOURNAL                                                                             83.0333                60
JOURNAL OF GLOBAL INFORMATION TECHNOLOGY MANAGEMENT                                                        81                      1
JOURNAL OF EDUCATION FOR STUDENTS PLACED AT RISK                                                           80                      4
PRODUCTION AND MANUFACTURING RESEARCH-AN OPEN ACCESS JOURNAL                                               79.8                   10
SPATIAL COGNITION AND COMPUTATION                                                                          79.2727                11
NORMA                                                                                                      79.25                   4
SETTLER COLONIAL STUDIES                                                                                   78.7143                 7
INTERNATIONAL JOURNAL OF NAUTICAL ARCHAEOLOGY                                                              78.2857                 7
VIRULENCE                                                                                                  78.2407                54
MYCOLOGY-AN INTERNATIONAL JOURNAL ON FUNGAL BIOLOGY                                                        76.2857                 7
TAPUYA: LATIN AMERICAN SCIENCE, TECHNOLOGY AND SOCIETY                                                     75.3333                 3
JUSTICE EVALUATION JOURNAL                                                                                 74                      1
JOURNAL OF ECOTOURISM                                                                                      73.2                    5
BILINGUAL RESEARCH JOURNAL                                                                                 73                      5
AMBIX                                                                                                      72.7143                 7
JOURNAL OF DECISION SYSTEMS                                                                                72.4                   10
SUSTAINABILITY-SCIENCE PRACTICE AND POLICY                                                                 72                      8
DIPLOMACY & STATECRAFT                                                                                     71.8333                 6
SYSTEMATICS AND BIODIVERSITY                                                                               71.75                  24
ANNALS OF SCIENCE                                                                                          71.6607                56
INTERNATIONAL JOURNAL OF QUALITATIVE STUDIES ON HEALTH AND WELL-BEING                                      71.25                  12
HUMAN-COMPUTER INTERACTION                                                                                 70                      5
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION                                                        69.8305                59
POLITICAL RESEARCH EXCHANGE                                                                                69.75                   4
SCHOOL PSYCHOLOGY REVIEW                                                                                   69.2222                36
CELL ADHESION & MIGRATION                                                                                  69.1667                12
IMMUNOLOGICAL MEDICINE                                                                                     69                      2
JOURNAL OF BUSINESS ANALYTICS                                                                              68.3333                 3
ECONOMIC GEOGRAPHY                                                                                         68                      8
INTERNATIONAL JOURNAL OF STRATEGIC COMMUNICATION                                                           68                      4
INTERNATIONAL JOURNAL OF SUSTAINABLE ENERGY                                                                67.6154                13
SOCIOLOGICAL QUARTERLY                                                                                     67.3913                92
COGENT BUSINESS & MANAGEMENT                                                                               67.0407               172
EUROPEAN JOURNAL OF INFORMATION SYSTEMS                                                                    66.65                  20
HYDROLOGICAL SCIENCES JOURNAL                                                                              66.625                 32
THEORETICAL ISSUES IN ERGONOMICS SCIENCE                                                                   66.625                  8
NEOTROPICAL BIODIVERSITY                                                                                   66.5714                 7
JOURNAL OF CULINARY SCIENCE & TECHNOLOGY                                                                   65.9167                12
ADVANCES IN BUILDING ENERGY RESEARCH                                                                       65.8333                12
SPORT MANAGEMENT REVIEW                                                                                    65.5085                59
CREATIVE INDUSTRIES JOURNAL                                                                                65.4286                 7
AUSTRALIAN FORESTRY                                                                                        65.3125                16
TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA                                                       65.1818                11
SUPPLY CHAIN FORUM                                                                                         64.8571                 7
ASIA PACIFIC LAW REVIEW                                                                                    64.8333                 6
VICTIMS & OFFENDERS                                                                                        64.8049                41
KNOWLEDGE MANAGEMENT RESEARCH & PRACTICE                                                                   64.6716                67
POLAR GEOGRAPHY                                                                                            64.5                    2
SPEECH LANGUAGE AND HEARING                                                                                64.25                   4
CRITICAL STUDIES ON TERRORISM                                                                              64.1667                 6
NAWPA PACHA                                                                                                64                      2
ACCOUNTING FORUM                                                                                           63.8571                21
JOURNAL OF EVIDENCE-BASED SOCIAL WORK                                                                      63.8                   10
SOUND STUDIES                                                                                              63.5                    2
CHANNELS                                                                                                   62.7143                14
GEOGRAPHICAL REVIEW                                                                                        62.3333                 9
ASIAN JOURNAL OF MIDDLE EASTERN AND ISLAMIC STUDIES                                                        62.25                   8
CURRICULUM INQUIRY                                                                                         62                     24
REVIEW OF POLITICAL ECONOMY                                                                                61.9286                14
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY                                                       61.75                  20
JOURNAL OF GLOBAL FASHION MARKETING                                                                        61.5                    4
ISOTOPES IN ENVIRONMENTAL AND HEALTH STUDIES                                                               61.5                   10
COGENT PSYCHOLOGY                                                                                          61.4906                53
NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS                                                              61.35                  20
INTERNATIONAL JOURNAL OF PSYCHOANALYSIS                                                                    61.2353                17
STRABISMUS                                                                                                 60.6667                 6
JOURNAL OF CURRENT ISSUES AND RESEARCH IN ADVERTISING                                                      60.5                    4
STUDIES IN CONFLICT & TERRORISM                                                                            60.3038                79
LOISIR & SOCIETE-SOCIETY AND LEISURE                                                                       60.1                   10
CHRISTIAN HIGHER EDUCATION                                                                                 60                      1
BEHAVIOUR & INFORMATION TECHNOLOGY                                                                         59.4629               175
WORLD JOURNAL OF BIOLOGICAL PSYCHIATRY                                                                     59.3636                44
BIOLOGICAL AGRICULTURE & HORTICULTURE                                                                      59                     10
DEVIANT BEHAVIOR                                                                                           58.6481                54
VIRTUAL AND PHYSICAL PROTOTYPING                                                                           57.6154                13
BOTANY LETTERS                                                                                             57.5                   12
JOURNAL OF CRIME & JUSTICE                                                                                 57                      4
NORA-NORDIC JOURNAL OF FEMINIST AND GENDER RESEARCH                                                        56.8571                 7
TOXIN REVIEWS                                                                                              56.8519                27
ANNALS OF MEDICINE                                                                                         56.8034               117
INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT                                                     56.75                   4
LATIN AMERICAN AND CARIBBEAN ETHNIC STUDIES                                                                56.4                    5
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT                                                            56.3077                13
INTERNATIONAL JOURNAL OF POLYMERIC MATERIALS AND POLYMERIC BIOMATERIALS                                    56.1111                18
COGENT SOCIAL SCIENCES                                                                                     56.0233               129
PSYECOLOGY-BILINGUAL JOURNAL OF ENVIRONMENTAL PSYCHOLOGY-REVISTA BILINGUE DE PSICOLOGIA AMBIENTAL          56                      2
JOURNAL OF GLOBAL SPORT MANAGEMENT                                                                         55.6667                 9
POLICY DESIGN AND PRACTICE                                                                                 55.6667                 9
BIOFOULING                                                                                                 55.5806                31
ANXIETY STRESS AND COPING                                                                                  55.5357                28
INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION                                                        55.2222                 9
COGENT ECONOMICS & FINANCE                                                                                 55.1159               138
APPLIED MOBILITIES                                                                                         55                      2
TAPUYA-LATIN AMERICAN SCIENCE TECHNOLOGY AND SOCIETY                                                       55                      3
NANOCOMPOSITES                                                                                             55                      1
CLIMATE AND DEVELOPMENT                                                                                    54.9643                28
ENGINEERING MANAGEMENT JOURNAL                                                                             54.6429                14
CANADIAN WATER RESOURCES JOURNAL                                                                           54.4286                14
INLAND WATERS                                                                                              54.25                   8
MOLECULAR AND CELLULAR BIOLOGY                                                                             54.2306               633
