AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
--------------  ----------------  ---------------
          1957          9.54545                33
          1958         12.425                  40
          1960         32.1818                 33
          1961         23.9655                 29
          1962         12.4062                 64
          1963         15.0698                 43
          1964         18.6471                 34
          1965          9.85862               290
          1966          7.52397               292
          1967          4.81503               346
          1968          7.26724               348
          1969          5.9931                435
          1970          5.27378               431
          1971          8.29365               504
          1972          9.25714               560
          1973          9.42764               767
          1974          9.82817               774
          1975          8.67606               497
          1976         10.8275                829
          1977          9.21739               759
          1978         12.6841               1089
          1979         12.1014                976
          1980         13.7373               1317
          1981         15.1412               1331
          1982         11.1884               1396
          1983         13.7589               1257
          1984         14.6499               1488
          1985         15.2687               1325
          1986         16.6271               1196
          1987         17.0697               1621
          1988         12.1433               2024
          1989         16.3885               2180
          1990         14.4012               2373
          1991         15.0809               2052
          1992         16.1077               2489
          1993         20.1425               1965
          1994         16.4434               2546
          1995         19.9696               2761
          1996         18.8531               3097
          1997         16.4013               3426
          1998         19.7937               3582
          1999         19.5146               3791
          2000         20.5314               4202
          2001         19.3381               4543
          2002         19.0008               5092
          2003         21.7865               5367
          2004         22.7898               5594
          2005         20.992                6540
          2006         20.1556               7772
          2007         21.1155               8164
          2008         20.6169               8989
          2009         21.421                9457
          2010         20.7235              10303
          2011         19.6731              10938
          2012         20.2221              11163
          2013         17.9369              12149
          2014         19.2322              11850
          2015         17.2341              12723
          2016         14.7795              13722
          2017         16.0078              12946
          2018         14.6943              12189
          2019         12.8358              12042
          2020         11.6616              13600
          2021          7.15647             14897
          2022          4.1654              17757
          2023          1.15485             17023
          2024          0.368421               19

AVERAGE CITATIONS PER NO. OF AUTHORS
  No. of Authors    Ave. Citations    No. of Papers
----------------  ----------------  ---------------
               1          11.8559             45815
               2          16.7475             63793
               3          15.8846             57348
               4          15.5309             43830
               5          15.1118             30809
               6          14.9153             21192
               7          15.1203             13160
               8          14.8151              8482
               9          16.9969              5518
              10          15.3912              3609
              11          17.0169              2247
              12          16.4687              1517
              13          17.8134              1018
              14          17.0746               697
              15          18.9681               501
              16          18.1582               373
              17          23.2754               276
              18          24.9764               212
              19          22.4367               158
              20          22.1704               135
              21          21.4318                88
              22          22.0645                93
              23          19.7183                71
              24          18.2727                66
              25          22.2449                49
              26          15.2292                48
              27          21.8929                28
              28          30.3929                28
              29          28.5833                24
              30          32.4286                21
              31          15                     15
              32          27                     16
              33          11.75                   8
              34          21.6923                13
              35          27.9091                11
              36          32.2143                14
              37           8.66667                6
              38          29.3333                12
              39          27.25                   4
              40          55.2                    5
              41          17.1667                 6
              42           3                      2
              43          25                      2
              44           8.4                    5
              45          48                      1
              46           6                      3
              48           1                      1
              49           1.5                    2
              50          40                      2
              51          73.5                    4
              52           0                      2
              53          18.3333                 3
              54          18                      1
              55          78.6667                 6
              56          83.6667                 3
              58          18                      2
              59          13.75                   4
              60          30                      1
              61          20                      1
              62           5                      3
              64           2                      1
              65          16                      1
              68          76                      1
              70           9                      1
              75          24                      1
              79          27.5                    2
              80           6                      1
              87           1                      1
              93           0                      1
              97          54                      1
             107          33                      1
             122          11                      1
             205         413                      1
             524           6                      1
             599           0                      1
            1116           5                      1
            1225          22                      1
            1228           5                      1
            1243          12                      1

AVERAGE CITATIONS PER NO. OF KEYWORDS
  No. of Keywords    Ave. Citations    No. of Papers
-----------------  ----------------  ---------------
                1           10.3854            21579
                2           11.583             19760
                3           12.0546            18163
                4           12.8947            15789
                5           14.054             13993
                6           13.8879            12076
                7           14.7542            10900
                8           16.4771             9756
                9           15.9388             8400
               10           24.8252            87573

AVERAGE CITATIONS PER JOURNAL
Journal                                                                                                                                 Ave. Citations    No. of Papers
------------------------------------------------------------------------------------------------------------------------------------  ----------------  ---------------
Expert Review of Anticancer Therapy                                                                                                         62                        2
EUROPEAN JOURNAL OF INFORMATION SYSTEMS                                                                                                     48.3421                1260
EXPERT OPINION ON DRUG DELIVERY                                                                                                             44.8035                1913
HUMAN-COMPUTER INTERACTION                                                                                                                  39.1866                 536
GUT MICROBES                                                                                                                                37.1121                1633
GROWTH FACTORS                                                                                                                              37.0378                1165
EPIGENETICS                                                                                                                                 36.3381                2023
EXPERT OPINION ON THERAPEUTIC TARGETS                                                                                                       34.9173                2164
ECOSCIENCE                                                                                                                                  31.1938                1352
FOOD REVIEWS INTERNATIONAL                                                                                                                  30.9447                1194
EXPERT OPINION ON INVESTIGATIONAL DRUGS                                                                                                     29.9816                3308
EMERGING MICROBES & INFECTIONS                                                                                                              29.3482                1815
International Journal of Coal Preparation and Utilization                                                                                   29.3333                   3
GEOMICROBIOLOGY JOURNAL                                                                                                                     27.741                 1946
EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY                                                                                              27.6162                1957
INHALATION TOXICOLOGY                                                                                                                       27.5086                2503
FOOD ADDITIVES AND CONTAMINANTS PART A-CHEMISTRY ANALYSIS CONTROL EXPOSURE & RISK ASSESSMENT                                                27.0461                3685
EXPERT OPINION ON BIOLOGICAL THERAPY                                                                                                        26.714                 3290
FREE RADICAL RESEARCH                                                                                                                       26.522                 5469
INTERNATIONAL GEOLOGY REVIEW                                                                                                                26.5106                2413
Expert Review of Vaccines                                                                                                                   25.3333                   3
FLY                                                                                                                                         25.2695                 564
EXPERT OPINION ON DRUG DISCOVERY                                                                                                            24.3266                1874
GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY                                                                                             23.7795                1211
EXPERT REVIEW OF VACCINES                                                                                                                   23.253                 2806
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION                                                                                        22.9386                2637
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS                                                                                                      22.232                 2121
EXPERT REVIEW OF ANTI-INFECTIVE THERAPY                                                                                                     21.622                 2402
INTERNATIONAL JOURNAL OF AUDIOLOGY                                                                                                          21.4455                2662
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY                                                                                        21.2969                 586
EXPERIMENTAL AGING RESEARCH                                                                                                                 20.9401                1402
EXPERT REVIEW OF NEUROTHERAPEUTICS                                                                                                          20.6888                2269
GISCIENCE & REMOTE SENSING                                                                                                                  20.6165                 871
EXPERT OPINION ON THERAPEUTIC PATENTS                                                                                                       20.5642                2841
EXPERIMENTAL LUNG RESEARCH                                                                                                                  20.5374                2045
EUROPEAN JOURNAL OF PHYCOLOGY                                                                                                               20.1559                1989
EXPERT REVIEW OF PROTEOMICS                                                                                                                 20.0025                1616
Green Chemistry Letters and Reviews                                                                                                         20                        2
EXPERT OPINION ON DRUG SAFETY                                                                                                               19.7983                2176
ERGONOMICS                                                                                                                                  19.6342                9511
EUROPEAN JOURNAL OF SPORT SCIENCE                                                                                                           19.4946                2044
INTERNATIONAL JOURNAL OF CONTROL                                                                                                            19.2752               11083
DRYING TECHNOLOGY                                                                                                                           19.0468                1836
EXPERT OPINION ON EMERGING DRUGS                                                                                                            18.8326                 651
ECONOMETRIC REVIEWS                                                                                                                         18.7596                 732
HYDROLOGICAL SCIENCES JOURNAL                                                                                                               18.4267                 846
ENTERPRISE INFORMATION SYSTEMS                                                                                                              18.1039                 828
Global Health Action                                                                                                                        18                        1
INTERNATIONAL JOURNAL OF DIGITAL EARTH                                                                                                      17.6434                1147
GREEN CHEMISTRY LETTERS AND REVIEWS                                                                                                         17.4993                 729
EXPERT OPINION ON PHARMACOTHERAPY                                                                                                           17.2165                5054
HUMAN AND ECOLOGICAL RISK ASSESSMENT                                                                                                        17.0838                3820
EUROPEAN JOURNAL OF GENERAL PRACTICE                                                                                                        16.9369                 666
GLOBAL HEALTH ACTION                                                                                                                        16.925                 2013
ENGINEERING OPTIMIZATION                                                                                                                    16.8129                2330
INTERNATIONAL JOURNAL OF FOOD PROPERTIES                                                                                                    16.7127                3470
Expert Opinion on Drug Delivery                                                                                                             16.4                      5
INLAND WATERS                                                                                                                               16.3635                 509
EXPERT REVIEW OF MEDICAL DEVICES                                                                                                            16.2514                2076
EXPERIMENTAL HEAT TRANSFER                                                                                                                  16.1796                1019
EXPERT REVIEW OF CLINICAL IMMUNOLOGY                                                                                                        16.0512                2072
ENGINEERING APPLICATIONS OF COMPUTATIONAL FLUID MECHANICS                                                                                   16.0427                1054
FOOD ADDITIVES & CONTAMINANTS PART B-SURVEILLANCE                                                                                           15.9662                 651
GRANA                                                                                                                                       15.5179                1396
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS                                                                                                15.329                 1690
EUROPEAN JOURNAL OF REMOTE SENSING                                                                                                          15.1939                 722
ENVIRONMENTAL TECHNOLOGY                                                                                                                    15.184                 7745
GEOMATICS NATURAL HAZARDS & RISK                                                                                                            15.0691                1129
FOOD BIOTECHNOLOGY                                                                                                                          15.0665                 782
Food Additives & Contaminants Part B-Surveillance                                                                                           15                        2
ETHOLOGY ECOLOGY & EVOLUTION                                                                                                                14.9507                1338
HEAT TRANSFER ENGINEERING                                                                                                                   14.8736                3007
INFORMATION SYSTEMS MANAGEMENT                                                                                                              14.8428                1317
EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY                                                                                              14.8066                1655
EXPERT REVIEW OF ANTICANCER THERAPY                                                                                                         14.7803                3236
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY                                                                                                     14.7213                2311
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH                                                                                      14.6407                1581
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING                                                                                  14.561                 2303
IMMUNOLOGICAL INVESTIGATIONS                                                                                                                14.1767                2088
HIGH PRESSURE RESEARCH                                                                                                                      13.8556                1766
GM CROPS & FOOD-BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN                                                                             13.435                  200
ENDOCRINE RESEARCH                                                                                                                          13.3451                1611
EMU-AUSTRAL ORNITHOLOGY                                                                                                                     13.3085                 778
Expert Opinion On Drug Safety                                                                                                               13.2857                   7
EXPERT REVIEW OF CLINICAL PHARMACOLOGY                                                                                                      13.2313                1405
EXPERT REVIEW OF RESPIRATORY MEDICINE                                                                                                       13.1145                1406
HUMAN VACCINES & IMMUNOTHERAPEUTICS                                                                                                         13.037                 6154
INFORMATICS FOR HEALTH & SOCIAL CARE                                                                                                        12.8647                 399
Expert Review of Clinical Immunology                                                                                                        12.8333                   6
Hematology                                                                                                                                  12.6923                  13
FOOD AND AGRICULTURAL IMMUNOLOGY                                                                                                            12.6436                1243
ENVIRONMENTAL FORENSICS                                                                                                                     12.5965                 922
GYNECOLOGICAL ENDOCRINOLOGY                                                                                                                 12.5453                5173
GFF                                                                                                                                         12.4958                1077
ELECTROMAGNETIC BIOLOGY AND MEDICINE                                                                                                        12.3774                 787
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment                                                12.25                     4
ENERGY SOURCES PART B-ECONOMICS PLANNING AND POLICY                                                                                         12.2322                 999
Epigenetics                                                                                                                                 12                        1
GEORISK-ASSESSMENT AND MANAGEMENT OF RISK FOR ENGINEERED SYSTEMS AND GEOHAZARDS                                                             11.8987                 464
EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE                                                                              11.7994                1426
EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH                                                                                      11.492                 1380
INTERNATIONAL JOURNAL OF ENVIRONMENTAL ANALYTICAL CHEMISTRY                                                                                 11.4775                5803
ENGINEERING MANAGEMENT JOURNAL                                                                                                              11.4583                 384
EXPERT REVIEW OF HEMATOLOGY                                                                                                                 11.3094                1561
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE                                                                                             11.159                 1132
GEOCARTO INTERNATIONAL                                                                                                                      11.0156                1928
INTERNATIONAL JOURNAL OF COMPUTATIONAL FLUID DYNAMICS                                                                                       10.9545                1165
HYPERTENSION IN PREGNANCY                                                                                                                   10.8253                1866
ECOLOGY OF FOOD AND NUTRITION                                                                                                               10.6897                1666
INTERNATIONAL JOURNAL OF CRASHWORTHINESS                                                                                                    10.6457                1397
EXPLORATION GEOPHYSICS                                                                                                                      10.1603                 973
INFOR                                                                                                                                       10.0792                1136
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES                                                                                  9.69873                395
HEMATOLOGY                                                                                                                                   9.44661               1901
HEMOGLOBIN                                                                                                                                   9.27225               3078
INFECTIOUS DISEASES                                                                                                                          9.17288               1261
HUMAN DIMENSIONS OF WILDLIFE                                                                                                                 9.11883                446
INTERNATIONAL JOURNAL OF CAST METALS RESEARCH                                                                                                8.91348               1306
EXPERIMENTAL MATHEMATICS                                                                                                                     8.86109               1123
HUMAN FERTILITY                                                                                                                              8.81572                776
IISE TRANSACTIONS                                                                                                                            8.75145                692
GEO-SPATIAL INFORMATION SCIENCE                                                                                                              8.65141                852
ELECTRIC POWER COMPONENTS AND SYSTEMS                                                                                                        8.54777               2941
FERROELECTRICS LETTERS SECTION                                                                                                               8.52305                998
FERROELECTRICS                                                                                                                               8.35094              17265
FULLERENES NANOTUBES AND CARBON NANOSTRUCTURES                                                                                               8.34042               2118
ECOSYSTEMS AND PEOPLE                                                                                                                        8.26702                191
EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING                                                                                      8.17076               1956
INTERNATIONAL JOURNAL OF COAL PREPARATION AND UTILIZATION                                                                                    8.1317                 858
ENERGY SOURCES PART A-RECOVERY UTILIZATION AND ENVIRONMENTAL EFFECTS                                                                         7.89337               6743
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS                                                                                                    7.73872               1818
INTERNATIONAL JOURNAL OF ACAROLOGY                                                                                                           7.56163               1371
Expert Review of Respiratory Medicine                                                                                                        7.5                      2
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS                                                                                                7.49917               5397
FUSION SCIENCE AND TECHNOLOGY                                                                                                                6.9193                5006
HISTORICAL BIOLOGY                                                                                                                           6.70133               1798
ELECTROMAGNETICS                                                                                                                             6.58564               1448
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL                                                                                                   6.39747                712
INSTRUMENTATION SCIENCE & TECHNOLOGY                                                                                                         6.25601               1332
IETE TECHNICAL REVIEW                                                                                                                        5.62291               1798
ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY                                                                                                 5.55276                199
INTERNATIONAL JOURNAL OF FOREST ENGINEERING                                                                                                  5.52814                231
EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST                                                                                                   5.4684                 269
FIBER AND INTEGRATED OPTICS                                                                                                                  5.45236               1165
ENGINEERING ECONOMIST                                                                                                                        5.45055                273
Human Vaccines & Immunotherapeutics                                                                                                          5.39394                 33
INTERNATIONAL JOURNAL OF ELECTRONICS                                                                                                         5.19602               8448
ECONOMIC AND POLITICAL STUDIES-EPS                                                                                                           5.19101                267
FETAL AND PEDIATRIC PATHOLOGY                                                                                                                5.18788               1155
INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH                                                                                                  4.94666               2587
EUROPEAN ZOOLOGICAL JOURNAL                                                                                                                  4.8722                 446
INTEGRATED FERROELECTRICS                                                                                                                    4.80521               5493
Geocarto International                                                                                                                       4.5                      2
IMAGING SCIENCE JOURNAL                                                                                                                      4.39402               1071
EXPERT OPINION ON ORPHAN DRUGS                                                                                                               4.17263                811
INORGANIC AND NANO-METAL CHEMISTRY                                                                                                           4.1015                1330
Expert Review of Gastroenterology & Hepatology                                                                                               3.5                      2
Expert Review of Proteomics                                                                                                                  3.5                      2
Econometric Reviews                                                                                                                          3.4                      5
HIV RESEARCH & CLINICAL PRACTICE                                                                                                             3.39506                 81
IETE JOURNAL OF RESEARCH                                                                                                                     3.36506               3331
EDUCATION INQUIRY                                                                                                                            3.18079                177
EGYPTIAN JOURNAL OF ANAESTHESIA                                                                                                              3.05854                837
EDUCATION FOR PRIMARY CARE                                                                                                                   2.97961               1815
HISTORY AND PHILOSOPHY OF LOGIC                                                                                                              2.157                 1172
International Journal of Agricultural Sustainability                                                                                         2                        1
ICEIS 2007: PROCEEDINGS OF THE NINTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS: HUMAN-COMPUTER INTERACTION                  1.04918                 61
Expert Review of Clinical Pharmacology                                                                                                       1                        1
ICEIS 2008: PROCEEDINGS OF THE TENTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS, VOL HCI: HUMAN-COMPUTER INTERACTION         0.742857                70
ICEIS 2006: PROCEEDINGS OF THE EIGHTH INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS: HUMAN-COMPUTER INTERACTION                 0.482759                29
INFECTIOUS DISEASES: BIOLOGICAL AND THERAPEUTIC ASPECTS                                                                                      0.0105263               95
ICEIS 2006: Proceedings of the Eighth International Conference on Enterprise Information Systems: HUMAN-COMPUTER INTERACTION                 0                        1

AVERAGE REFERENCES PER JOURNAL
Journal                                                                                                                                 Ave. References    No. of Papers
------------------------------------------------------------------------------------------------------------------------------------  -----------------  ---------------
FOOD REVIEWS INTERNATIONAL                                                                                                                     111.705              1194
Expert Review of Vaccines                                                                                                                      103.667                 3
EXPERT OPINION ON THERAPEUTIC TARGETS                                                                                                          101.24               2164
EXPERT OPINION ON EMERGING DRUGS                                                                                                               100.353               651
EXPERT OPINION ON DRUG DELIVERY                                                                                                                 96.2389             1913
EXPERT OPINION ON DRUG DISCOVERY                                                                                                                93.9258             1874
EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY                                                                                                  89.7389             1957
INTERNATIONAL GEOLOGY REVIEW                                                                                                                    85.4343             2413
International Journal of Coal Preparation and Utilization                                                                                       84.6667                3
EXPERT OPINION ON THERAPEUTIC PATENTS                                                                                                           80.0341             2841
EXPERT OPINION ON INVESTIGATIONAL DRUGS                                                                                                         79.584              3308
ECOSYSTEMS AND PEOPLE                                                                                                                           77.9319              191
EXPERT OPINION ON BIOLOGICAL THERAPY                                                                                                            77.6663             3290
EXPERT OPINION ON ORPHAN DRUGS                                                                                                                  74.746               811
EXPERT REVIEW OF NEUROTHERAPEUTICS                                                                                                              73.7528             2269
EXPERT REVIEW OF MOLECULAR DIAGNOSTICS                                                                                                          72.0075             2121
EXPERT REVIEW OF CLINICAL IMMUNOLOGY                                                                                                            71.8977             2072
EXPERT REVIEW OF RESPIRATORY MEDICINE                                                                                                           71.3144             1406
EXPERT REVIEW OF PROTEOMICS                                                                                                                     71.1417             1616
EXPERT REVIEW OF CLINICAL PHARMACOLOGY                                                                                                          70.3068             1405
EXPERT OPINION ON PHARMACOTHERAPY                                                                                                               70.1154             5054
EXPERT REVIEW OF GASTROENTEROLOGY & HEPATOLOGY                                                                                                  67.6586             1655
EXPERT REVIEW OF ANTI-INFECTIVE THERAPY                                                                                                         66.353              2402
EXPERT OPINION ON DRUG SAFETY                                                                                                                   66.2284             2176
GUT MICROBES                                                                                                                                    66.117              1633
HISTORICAL BIOLOGY                                                                                                                              65.495              1798
EXPERT REVIEW OF HEMATOLOGY                                                                                                                     65.3972             1561
EXPERT REVIEW OF VACCINES                                                                                                                       65.351              2806
HYDROLOGICAL SCIENCES JOURNAL                                                                                                                   62.8499              846
EUROPEAN ZOOLOGICAL JOURNAL                                                                                                                     61.4036              446
EUROPEAN JOURNAL OF INFORMATION SYSTEMS                                                                                                         60.3373             1260
EXPERT REVIEW OF ANTICANCER THERAPY                                                                                                             58.8538             3236
Expert Review of Gastroenterology & Hepatology                                                                                                  58                     2
INLAND WATERS                                                                                                                                   57.6935              509
GEOCARTO INTERNATIONAL                                                                                                                          56.9046             1928
GISCIENCE & REMOTE SENSING                                                                                                                      55.6533              871
ENVIRONMENTAL POLLUTANTS AND BIOAVAILABILITY                                                                                                    54.809               199
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES                                                                                     54.4152              395
GM CROPS & FOOD-BIOTECHNOLOGY IN AGRICULTURE AND THE FOOD CHAIN                                                                                 54.22                200
INTERNATIONAL JOURNAL OF AGRICULTURAL SUSTAINABILITY                                                                                            53.8225              586
EPIGENETICS                                                                                                                                     52.9595             2023
HUMAN-COMPUTER INTERACTION                                                                                                                      52.8713              536
ENGINEERING MANAGEMENT JOURNAL                                                                                                                  52.0312              384
Expert Review of Clinical Immunology                                                                                                            52                     6
ECOSCIENCE                                                                                                                                      51.7493             1352
EDUCATION INQUIRY                                                                                                                               50.2542              177
GEOMICROBIOLOGY JOURNAL                                                                                                                         49.7348             1946
EXPERT REVIEW OF MEDICAL DEVICES                                                                                                                49.2023             2076
GEOMATICS NATURAL HAZARDS & RISK                                                                                                                48.7502             1129
ENTERPRISE INFORMATION SYSTEMS                                                                                                                  48.686               828
EMU-AUSTRAL ORNITHOLOGY                                                                                                                         48.2635              778
INTERNATIONAL JOURNAL OF DIGITAL EARTH                                                                                                          48.2589             1147
GROWTH FACTORS                                                                                                                                  48.1459             1165
ICEIS 2006: Proceedings of the Eighth International Conference on Enterprise Information Systems: HUMAN-COMPUTER INTERACTION                    47                     1
GREEN CHEMISTRY LETTERS AND REVIEWS                                                                                                             46.7133              729
IISE TRANSACTIONS                                                                                                                               43.5101              692
HUMAN DIMENSIONS OF WILDLIFE                                                                                                                    43.074               446
INFORMATICS FOR HEALTH & SOCIAL CARE                                                                                                            42.7444              399
EUROPEAN JOURNAL OF REMOTE SENSING                                                                                                              42.4986              722
FLY                                                                                                                                             42.3387              564
INTERNATIONAL JOURNAL OF FOREST ENGINEERING                                                                                                     41.4372              231
INTERNATIONAL JOURNAL OF ENVIRONMENTAL HEALTH RESEARCH                                                                                          41.0835             1581
GFF                                                                                                                                             40.8709             1077
EXPERT REVIEW OF PHARMACOECONOMICS & OUTCOMES RESEARCH                                                                                          40.6333             1380
HUMAN AND ECOLOGICAL RISK ASSESSMENT                                                                                                            40.612              3820
EMERGING MICROBES & INFECTIONS                                                                                                                  40.6055             1815
INORGANIC AND NANO-METAL CHEMISTRY                                                                                                              39.5632             1330
INHALATION TOXICOLOGY                                                                                                                           39.3252             2503
IMMUNOLOGICAL INVESTIGATIONS                                                                                                                    38.9057             2088
EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST                                                                                                      38.8736              269
INTERNATIONAL JOURNAL OF FOOD PROPERTIES                                                                                                        38.6282             3470
HIV RESEARCH & CLINICAL PRACTICE                                                                                                                38.1852               81
EUROPEAN JOURNAL OF ENVIRONMENTAL AND CIVIL ENGINEERING                                                                                         38.002              1956
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION                                                                                            37.6174             2637
