AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
--------------  ----------------  ---------------
          1898         0.16                    25
          1899         0.4375                  16
          1900        14.6783                 314
          1901        24.3193                 476
          1902        13.8753                 441
          1903         4.82342                555
          1904         8.94718                549
          1905        11.3221                 534
          1906         7.80222                450
          1907         5.63956                541
          1908         6.3203                 537
          1909         5.33853                641
          1910        10.7761                 786
          1911         7.62705                791
          1912         8.68571                805
          1913        14.8917                 785
          1914        10.6511                 814
          1915         9.4891                 734
          1916         6.2786                 883
          1917        12.2835                 709
          1918         6.09139                755
          1919         9.85142                774
          1920         7.38432               1033
          1921         7.39941               1362
          1922         6.98123               1598
          1923         6.07967               1845
          1924         5.34073               1623
          1925         6.84453               2039
          1926         7.89664               1993
          1927         6.63476               2434
          1928         5.14992               2608
          1929         4.86861               2915
          1930         5.24326               2968
          1931         5.74642               2867
          1932         6.05508               2832
          1933         7.49714               2977
          1934         6.90206               2818
          1935         8.58883               3045
          1936         8.38992               2957
          1937        10.9562                3268
          1938         7.90268               3319
          1939         9.16855               2658
          1940         8.71602               2391
          1941        10.3972                2306
          1942        10.7436                2200
          1943        12.3869                1884
          1944        11.5136                1659
          1945        23.3172                2232
          1946        13.2956                2784
          1947        14.4309                3251
          1948        17.4045                3763
          1949        24.1956                5159
          1950        20.5844                4687
          1951        26.9279                5144
          1952        26.3617                5656
          1953        20.7971                6165
          1954        24.2257                6291
          1955        27.087                 6427
          1956        18.2034                8103
          1957        17.8933                8937
          1958        25.2758                9707
          1959        19.1602               10761
          1960        21.0717               10947
          1961        18.1746               14113
          1962        23.8215               14915
          1963        18.4725               15582
          1964        20.9026               16367
          1965        17.3968               20763
          1966        16.8032               24217
          1967        17.2848               29099
          1968        19.2613               31777
          1969        19.6732               36730
          1970        19.4843               38808
          1971        20.0153               42239
          1972        20.395                44842
          1973        21.7138               47930
          1974        21.9586               52080
          1975        22.0567               56590
          1976        21.6369               60672
          1977        22.6358               68546
          1978        22.1617               73460
          1979        23.1768               78005
          1980        22.6918               83935
          1981        22.3837               90156
          1982        23.3148               93338
          1983        23.973                99079
          1984        22.8481              107836
          1985        22.842               114356
          1986        22.2419              122668
          1987        23.1993              130140
          1988        24.6217              127611
          1989        25.7315              128189
          1990        26.2265              142685
          1991        27.2985              144176
          1992        28.2567              150953
          1993        27.7306              166598
          1994        28.2941              174620
          1995        29.085               187937
          1996        29.6557              195503
          1997        32.8761              207985
          1998        31.6347              214417
          1999        35.4463              225601
          2000        38.6332              234171
          2001        39.5486              229160
          2002        36.7303              241817
          2003        39.2444              255081
          2004        37.4965              284218
          2005        34.4009              309827
          2006        33.494               336714
          2007        31.9195              355855
          2008        30.9734              374506
          2009        29.5006              381926
          2010        28.9544              390681
          2011        27.4243              399701
          2012        24.7449              427699
          2013        23.317               440207
          2014        21.4963              455348
          2015        20.7012              465455
          2016        18.5039              489467
          2017        17.4571              503561
          2018        15.8605              526166
          2019        13.3342              562810
          2020        12.1426              581504
          2021         8.05695             627885
          2022         3.90781             646719
          2023         0.903021            615063
          2024         0.0520627             5551

AVERAGE CITATIONS PER NO. OF AUTHORS
  No. of Authors    Ave. Citations    No. of Papers
----------------  ----------------  ---------------
               1        14.5162             2569906
              10        22.9479              235173
             100        56.3333                  24
            1000        13                        1
            1001        43                        1
            1002        10.7143                   7
            1003        31.4                      5
            1004        23                        2
            1005        34.75                     4
            1006        34                        1
            1007        10.1667                  12
            1008        13                        6
            1009        28.625                    8
             101        43.2903                  31
            1010        18.5                      4
            1011        17.5556                   9
            1012        14.5714                   7
            1013        44.1667                   6
            1014         2.5                      2
            1015        20.5                      4
            1016        25.5                      4
            1017        13.5                      6
            1018         5.25                     4
            1019         3.70588                 34
             102        41.875                   32
            1020        35.75                     4
            1022        13                       14
            1023        24.625                    8
            1024         9.85714                  7
            1025        18.6667                  12
            1026        31.5                      6
            1027        22.75                     4
            1028        13                        3
            1029        10.75                     4
             103        27.1212                  33
            1031        12.6667                   6
            1032         0.0666667               15
            1033        28                        1
            1034        13.6667                   3
            1037         0                        8
            1038        49                        2
             104       142.5                     28
            1042        21                        1
            1045        25                        1
            1046         2                        1
             105        24.7674                  43
            1053       203                        1
            1054         0                        1
            1055       147                        1
            1057       224                        1
             106        33.587                   46
            1062       190                        2
            1064         0                        2
            1065         0                        8
            1067         0.75                     4
             107        28.2439                  41
            1071         0                        3
             108        48.0588                  51
            1084       141                        1
             109        41.8438                  32
              11        24.3636              141041
             110        41.2727                  22
            1104        63                        1
            1109         4                        1
             111        21                       29
            1110        12                        1
            1111        13                        1
            1112        21.6667                   9
            1113        19                        2
            1114        28                        1
            1115         9.5                      4
            1116        14.3333                   3
            1118        16                        1
             112        62.3333                  24
            1120        81                        1
            1121        10                        1
            1122        35                        1
            1123         9                        1
            1125         5                        1
            1128         6                        1
             113        44.7895                  19
             114        28.5                     22
            1142         9                        1
             115        47.4286                  14
             116        28.7826                  23
             117        49.5                     20
             118        39.4545                  33
             119        28.1818                  22
              12        24.8711               96847
             120        44.8333                  24
             121        37.96                    25
            1211       640                        1
            1218        15                        1
             122        89.3333                  24
            1221         2                        1
            1224        13                        1
            1225        22                        1
            1227         4                        3
            1228         3                        2
            1229        10                        3
             123        41.0345                  29
            1230        27                        2
            1231         6                        2
            1232        10                        3
            1233        14.5                      2
            1234        29.5                      2
            1235        11.5                      4
            1236        11.5                      2
            1238        12.5                      2
             124        93.9167                  12
            1240        19                        1
            1243        12                        1
            1247       198                        1
             125       112.667                   12
            1253        24                        1
             126        51.2857                  21
            1263        11                        1
            1267      3538                        1
             127       945.75                    20
             128        84.1905                  21
             129        22.1905                  21
              13        25.4233               64952
             130        50.0357                  28
            1300         7                        1
             131        26                        7
            1313      1584                        1
             132        73.2667                  15
             133        45.3846                  13
             134        69.7692                  13
             135       161.889                   27
             136        81.2                     10
            1363       408                        1
             137        44.2308                  26
             138        97.75                    16
             139        33.1481                  27
              14        25.9138               46243
             140        66.6316                  19
             141        43.6087                  23
             142        36.25                    16
            1425        10                        1
             143        44.0526                  19
             144        66.7778                   9
            1446        36                        1
             145        31.4706                  17
             146        62.7778                  18
             147        48.8462                  13
            1476         0                        1
            1477        20                        2
             148        53.2                     15
             149        60.7692                  13
              15        25.3982               35224
             150        88.1429                  14
             151        55.7273                  22
             152       136.286                   14
             153        72.3333                  15
             154        35.7143                  14
             155        78.5                     14
             156       556.375                    8
             157       594.5                      6
             158        70.8235                  17
             159       109.133                   15
              16        27.0902               24223
             160       154.625                    8
             161        82.6364                  11
             162        89.2                     15
             163        47                       10
             164        65                        7
            1649       439                        1
             165        62.1                     10
             166        31.3636                  11
             167        72.3333                   9
             168        32                       14
             169       263.143                   14
              17        28.4615               17952
             170       611.444                    9
             171        52.5714                   7
             172        45.9                     10
            1720        81                        1
             173        65                        9
             174        34                        9
             175        16                        4
             176       159.333                    6
             177        90.2143                  14
             178        40                        7
            1787        41                        1
             179        46.2                      5
              18        30.5452               14226
             180         9.88889                  9
             181        59.1429                   7
             182        15.1                     10
             183        59.1429                   7
             184        31.4                      5
             185        28.3333                   6
             186        40.3                     10
             187        20.5                      4
             188       119                        8
             189        37                        7
              19        27.6807               11314
             190        44.3                     10
             191        13.6                      5
             192        37.1667                   6
             193        69.125                    8
             194        41.1667                   6
             195       142.5                      8
             196        24.8571                  21
            1968       314                        1
             197        24.1818                  11
             198        29                        6
             199       112.444                    9
               2        26.3767             2432492
              20        25.4954               12201
             200        39.0833                  12
             201        20.3                     10
             202        53.4167                  12
             203        91.5                     12
            2034       314                        1
             204        25.1111                   9
             205        66.5                     10
             206        22.5714                   7
            2064        31                        1
             207        46.6667                   6
            2072        46                        1
            2078        53                        1
             208        46.5                     12
            2089       147                        1
             209        21.1333                  15
              21        28.8298                8069
             210        26.625                    8
             211        48.6667                   6
            2112        61                        1
            2115        63                        1
            2116       101                        1
            2118         4                        1
             212        16.4444                   9
            2120        44                        1
            2122        83                        1
            2123        41.5                      2
            2124        65                        2
            2125        47                        1
            2126       157                        1
            2127       136                        3
            2128        76                        1
            2129        45                        1
             213        91                        4
            2132        91.5                      4
            2133        81.5                      2
            2134       142.75                     4
            2135       101                        3
            2136       115                        1
            2137        60.3333                   3
            2139        20.5                      2
             214        40.5833                  12
            2140        65.75                     4
            2141        61                        1
            2142        53.5                      4
            2143       220.333                    3
            2144        51                        2
            2145       148                        3
            2146        30                        1
            2147        95                        3
            2148        28                        1
             215        77.5714                   7
            2150       101.5                      2
            2151        90                        1
            2155       111.5                      2
            2157        19                        1
            2158        36                        1
             216        71.3333                  12
            2161       108.333                    3
            2163       356.5                      2
            2164        29.5                      2
            2166        54.5                      2
            2167        55.5                      2
             217        26.7143                   7
            2170        23                        2
            2171        10                        1
            2172        89                        2
            2173        81                        2
            2174        22                        1
            2175        61                        1
            2176       104.667                    3
            2177        43                        1
            2178        49.8                      5
             218        76                        4
            2180        17.5                      2
            2181       174.75                     4
            2182        39                        1
            2183        81                        1
            2184        59                        1
            2186       137                        1
            2187        20                        3
            2188         0                        1
            2189       234                        2
             219        26.25                     4
            2190        52.8333                   6
            2191        40                        8
            2192        58.25                     4
            2193        74                        4
            2194       118                        1
