ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"58.55.134.85","elite","AS4134","CN","Chinanet","290","Chinanet HB","1080","socks5","397","1","2023-10-18T11:27:55.535Z","69","3070","4442"
"82.115.18.179","elite","AS212552","DE","BitCommand LLC","92","BitCommand LLC","1080","socks5","1189","1","2023-10-18T11:27:55.041Z","99","4323","4371"
"200.2.196.42","elite","AS4995","CL","Netup S.A.","295","Netup S.A","5678","socks4","1014","82","2023-10-18T11:27:55.235Z","35","1576","4466"
"177.85.205.173","elite","AS52554","BR","S. A. da Silva Junior","183","S. A. da Silva Junior","3629","socks4","1695","1","2023-10-18T11:27:54.956Z","58","2587","4451"
"168.227.158.45","elite","AS52898","BR","Multipla Serviços Inteligentes","202","Multipla Serviços Inteligentes","4145","socks4","1896","1","2023-10-18T11:27:54.049Z","99","4259","4286"
"138.68.135.103","elite","AS14061","GB","DigitalOcean, LLC","14","DigitalOcean, LLC","3128","socks5","1908","1","2023-10-18T11:27:54.047Z","93","4028","4330"
"196.0.39.50","elite","AS21491","UG","Uganda Telecom Ltd","198","UTL","5678","socks4","1005","1","2023-10-18T11:27:53.543Z","67","2941","4388"
"138.36.150.16","elite","AS263729","AR","Pedraza Luis Eduardo","241","Pedraza Luis Eduardo","1080","socks4","1097","1","2023-10-18T11:27:53.545Z","99","4335","4377"
"188.25.121.203","elite","AS8708","RO","RCS & RDS","38","RCS & RDS Residential","8081","socks4","1503","1","2023-10-18T11:27:53.350Z","85","3781","4426"
"104.17.50.45","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","1412","1","2023-10-18T11:27:53.344Z","100","4358","4359"
"186.235.184.9","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","200","Avil Tecidos Recife Ltda","4153","socks4","2205","1","2023-10-18T11:27:52.747Z","100","4401","4415"
"171.247.168.5","elite","AS7552","VN","Viettel Corporation","385","VIETEL","1080","socks4","3889","1","2023-10-18T11:27:52.042Z","71","3052","4317"
"27.184.132.162","elite","AS4134","CN","Chinanet","204","Chinanet HE","21212","socks5","3901","1","2023-10-18T11:27:52.039Z","52","2209","4262"
"180.183.135.241","elite","AS45629","TH","Triple T Broadband Public Company Limited","177","Triple T Broadband Public Company Limited","1099","socks4","2398","1","2023-10-18T11:27:52.745Z","91","3943","4348"
"210.213.90.26","elite","AS9299","PH","Philippine Long Distance Telephone Co.","198","Philippine Long Distance Telephone Co","8080","socks4","4091","1","2023-10-18T11:27:52.036Z","98","4302","4406"
"138.36.199.14","elite","AS264586","BR","Speed Telecomunicacoes","189","Speed Telecomunicacoes","4153","socks4","2097","1","2023-10-18T11:27:51.039Z","99","4406","4469"
"83.53.207.196","elite","AS3352","ES","Telefonica de Espana SAU","34","RIMA (Red IP Multi Acceso)","4145","socks4","5195","1","2023-10-18T11:27:50.248Z","100","4348","4356"
"212.3.105.11","elite","AS57993","UA","FOP Khalik Andrey Volodumurovuch","99","HLink","4145","socks4","1990","1","2023-10-18T11:27:50.749Z","99","4390","4451"
"117.54.201.93","elite","AS9340","ID","PT IndoInternet","168","N/A","5678","socks4","4615","1","2023-10-18T11:27:50.246Z","99","4318","4371"
"172.64.80.55","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","3994","1","2023-10-18T11:27:50.738Z","100","4338","4338"
"185.6.11.8","elite","AS12552","SE","GlobalConnect AB","33","Internet Vikings International AB","19427","socks5","2300","1","2023-10-18T11:27:50.554Z","100","4397","4397"
"202.183.24.38","elite","AS131736","ID","BIGNET","796","N/A","5678","socks4","4509","1","2023-10-18T11:27:50.348Z","66","2903","4404"
"104.129.206.65","elite","AS22616","US","ZSCALER, INC.","90","Zscaler, Inc.","8800","socks4","4099","1","2023-10-18T11:27:50.133Z","96","4293","4461"
"69.163.164.68","elite","AS26347","US","New Dream Network, LLC","185","New Dream Network, LLC","49538","socks4","1887","1","2023-10-18T11:27:50.942Z","100","4402","4403"
"119.18.152.138","elite","AS55685","ID","PT. Jala Lintas Media","194","N/A","4145","socks4","4194","1","2023-10-18T11:27:49.742Z","99","4385","4411"
"41.76.86.202","elite","AS37209","NG","Hyperia Limited","120","HYP PHC","5678","socks4","800","1","2023-10-18T11:27:49.738Z","61","2721","4440"
"194.195.240.60","elite","AS63949","DE","Akamai Technologies, Inc.","11","Linode","54210","socks4","4698","1","2023-10-18T11:27:48.049Z","85","3690","4323"
"110.78.149.20","elite","AS131090","TH","CAT-BB","258","N/A","4145","socks4","4789","98","2023-10-18T11:27:48.843Z","70","3092","4414"
"103.86.200.48","elite","AS136416","BD","Sorob IT LTD","184","Sorob IT LTD","5678","socks5","5091","2","2023-10-18T11:27:48.247Z","98","4234","4314"
"193.169.81.91","elite","AS49491","UA","Ternet LLC","37","Ternet LTD","5678","socks4","4797","1","2023-10-18T11:27:48.245Z","94","4157","4443"
